id,chapter,chapter_title,section,section_title,level,level_name,requirement,source_file,status,auditor_notes
1.1.1,C1,Provenance,C1.1,Model and Artifact Provenance,1,Recorded,"Verify that every execution record includes the cryptographic digest (e.g., SHA-256) of the model weights and serving configuration that produced the output, not only a product or version name.",0.1/en/0x10-C01-Provenance.md,,
1.1.2,C1,Provenance,C1.1,Model and Artifact Provenance,2,Attested,"Verify that at model load time the digest of the deployed weights is compared against a signed model manifest, and that each comparison result (pass or fail) is written to the execution record.",0.1/en/0x10-C01-Provenance.md,,
1.1.3,C1,Provenance,C1.1,Model and Artifact Provenance,2,Attested,"Verify that the signature chain over model artifacts — base weights, fine-tuning steps, serving config — validates end-to-end using signing keys enrolled in a maintained list of authorized providers, and that chain-validation failures block deployment.",0.1/en/0x10-C01-Provenance.md,,
1.1.4,C1,Provenance,C1.1,Model and Artifact Provenance,2,Attested,"Verify that the artifact-admission control rejects models, tools, and plugins that lack a valid attestation, and that each rejection event is recorded with the artifact identifier and reason.",0.1/en/0x10-C01-Provenance.md,,
1.1.5,C1,Provenance,C1.1,Model and Artifact Provenance,3,Independently Verifiable,"Verify that model supply-chain provenance is published in a standard, externally checkable attestation format (e.g., SLSA provenance / in-toto), so a party outside the organization can validate the build chain without operator assistance.",0.1/en/0x10-C01-Provenance.md,,
1.2.1,C1,Provenance,C1.2,Input and Data Lineage,1,Recorded,"Verify that each input that steers agent behavior (prompts, retrieved documents, memory reads, tool outputs) is recorded at ingestion with a source identifier and timestamp.",0.1/en/0x10-C01-Provenance.md,,
1.2.2,C1,Provenance,C1.2,Input and Data Lineage,2,Attested,"Verify that input records are hash-linked to the execution records of the actions whose context they were present in at evaluation time, forming a custody chain a reviewer can walk from origin to action.",0.1/en/0x10-C01-Provenance.md,,
1.2.3,C1,Provenance,C1.2,Input and Data Lineage,2,Attested,"Verify that each transformation applied to data feeding the agent (chunking, embedding, redaction, enrichment) appends an entry to a hash-linked, append-only log naming the process, its version, and digests of input and output.",0.1/en/0x10-C01-Provenance.md,,
1.2.4,C1,Provenance,C1.2,Input and Data Lineage,3,Independently Verifiable,"Verify that training-data lineage and licensing attestations for the model in use are obtainable by an external verifier, and that the conformance claim links to them.",0.1/en/0x10-C01-Provenance.md,,
1.3.1,C1,Provenance,C1.3,Compute Substrate Provenance,2,Attested,"Verify that the execution record identifies the compute environment that ran the workload (host or cluster identity, environment image digest).",0.1/en/0x10-C01-Provenance.md,,
1.3.2,C1,Provenance,C1.3,Compute Substrate Provenance,3,Independently Verifiable,Verify that substrate identity is backed by a hardware or remote attestation report that a party outside the organization can validate against published reference values.,0.1/en/0x10-C01-Provenance.md,,
1.4.1,C1,Provenance,C1.4,Privacy-Preserving Provenance,1,Recorded,"Verify that provenance records retain digests, commitments, or redacted derivations of payloads — not raw payloads — wherever the data handled is subject to minimization requirements.",0.1/en/0x10-C01-Provenance.md,,
1.4.2,C1,Provenance,C1.4,Privacy-Preserving Provenance,3,Independently Verifiable,"Verify that an external verifier can confirm a provenance claim about confidential inputs (e.g., via hash comparison or selective disclosure) without being shown the underlying data.",0.1/en/0x10-C01-Provenance.md,,
2.1.1,C2,Privacy,C2.1,Data-Access Evidence,1,Recorded,"Verify that every data read and write performed by the agent is recorded with the data-store identifier, record or object reference, operation type, and timestamp.",0.1/en/0x10-C02-Privacy.md,,
2.1.2,C2,Privacy,C2.1,Data-Access Evidence,2,Attested,"Verify that privacy evidence records contain identifiers, digests, or classifications of the data touched — never the protected content itself — and that a periodic scan of the evidence store confirms this.",0.1/en/0x10-C02-Privacy.md,,
2.1.3,C2,Privacy,C2.1,Data-Access Evidence,1,Recorded,"Verify that each execution record distinguishes data *used* by the agent from data *disclosed* to an output, tool, or third party, as separate fields a reviewer can query.",0.1/en/0x10-C02-Privacy.md,,
2.2.1,C2,Privacy,C2.2,Policy and Consent Enforcement,2,Attested,"Verify that each data access is evaluated against the applicable consent record before execution, and that the evaluation result — including denials — is written to the execution record.",0.1/en/0x10-C02-Privacy.md,,
2.2.2,C2,Privacy,C2.2,Policy and Consent Enforcement,2,Attested,"Verify that each data access records the declared purpose it was made under, and that accesses whose purpose does not match the data's permitted purposes are blocked and logged.",0.1/en/0x10-C02-Privacy.md,,
2.2.3,C2,Privacy,C2.2,Policy and Consent Enforcement,2,Attested,"Verify that agent data queries are constrained (by scope, field allow-lists, or query rewriting) to the data required for the task, and that the constraint configuration and its enforcement events are recorded.",0.1/en/0x10-C02-Privacy.md,,
2.2.4,C2,Privacy,C2.2,Policy and Consent Enforcement,2,Attested,"Verify that license and data-residency constraints are encoded as machine-enforced rules (e.g., region pinning, license tags), and that rule evaluations at execution are recorded.",0.1/en/0x10-C02-Privacy.md,,
2.2.5,C2,Privacy,C2.2,Policy and Consent Enforcement,2,Attested,"Verify that where deidentified data is used, the deidentification step logs the method and version applied, and re-identification attempts (joins against restricted sources) are blocked and logged.",0.1/en/0x10-C02-Privacy.md,,
2.3.1,C2,Privacy,C2.3,Privacy-Preserving Verification Mechanisms,3,Independently Verifiable,"Verify that where evidence at Tier 3 would re-leak protected inputs, the implementation substitutes a zero-knowledge proof of policy adherence, a selective disclosure, or a commitment — and that an external verifier can validate it without seeing the inputs.",0.1/en/0x10-C02-Privacy.md,,
2.3.2,C2,Privacy,C2.3,Privacy-Preserving Verification Mechanisms,3,Independently Verifiable,"Verify that consent records are committed to (hashed and anchored) at the time consent is captured, so a later consent record can be proven unaltered and not backdated.",0.1/en/0x10-C02-Privacy.md,,
2.3.3,C2,Privacy,C2.3,Privacy-Preserving Verification Mechanisms,4,Self-Enforcing / Continuous,Verify that computations over confidential inputs produce a proof of correct execution (verifiable computation) that gates the release of the result.,0.1/en/0x10-C02-Privacy.md,,
2.4.1,C2,Privacy,C2.4,Evidence Handling for Protected Data,1,Recorded,"Verify that evidence retained beyond the execution window contains only derived or minimized forms of protected data (hashes, commitments, selective disclosures), enforced by the evidence-pipeline schema rather than by convention.",0.1/en/0x10-C02-Privacy.md,,
2.4.2,C2,Privacy,C2.4,Evidence Handling for Protected Data,2,Attested,"Verify that a documented procedure reconciles data-subject deletion requests with tamper-evident evidence — e.g., crypto-shredding encrypted payloads while retaining hash-bound proofs — and that at least one executed deletion demonstrates the chain remains verifiable afterward.",0.1/en/0x10-C02-Privacy.md,,
3.1.1,C3,Portability,C3.1,Boundary-Crossing Evidence,1,Recorded,"Verify that each organizational, jurisdictional, and compute boundary crossing writes an execution-record entry identifying the source environment, destination environment, and what crossed (data digests, agent state, credentials).",0.1/en/0x10-C03-Portability.md,,
3.1.2,C3,Portability,C3.1,Boundary-Crossing Evidence,2,Attested,Verify that integrity of data and agent state is checked at the destination side of each crossing — digest recomputed or signature validated — and that the check result is recorded on both sides.,0.1/en/0x10-C03-Portability.md,,
3.2.1,C3,Portability,C3.2,Cross-Environment Continuity,2,Attested,"Verify that evidence generated before a cross-cloud or cross-vendor migration remains validatable after it: keys, reference values, and verification tooling for the old environment stay published for the retention period.",0.1/en/0x10-C03-Portability.md,,
3.2.2,C3,Portability,C3.2,Cross-Environment Continuity,3,Independently Verifiable,"Verify that when evidence crosses attestation domains, a signed linking record binds the last record of the source chain to the first record of the destination chain, so an external verifier can confirm there is no gap.",0.1/en/0x10-C03-Portability.md,,
3.2.3,C3,Portability,C3.2,Cross-Environment Continuity,3,Independently Verifiable,"Verify that a documented cross-jurisdiction review determines, per jurisdiction pair, what each evidence artifact discloses, and that artifacts exceeding the destination's permitted disclosure are transformed (re-proven, redacted) before transfer.",0.1/en/0x10-C03-Portability.md,,
4.1.1,C4,Authorization,C4.1,Authority and Scope Enforcement,1,Recorded,"Verify that the authority granted to the agent — the permission set, its scope, and its expiry — is written to the execution record before the first action executes under it.",0.1/en/0x10-C04-Authorization.md,,
4.1.2,C4,Authorization,C4.1,Authority and Scope Enforcement,1,Recorded,"Verify that every action is evaluated against the granted permission set at execution time, and that the evaluation record names the permission matched (or the denial reason) for each action.",0.1/en/0x10-C04-Authorization.md,,
4.1.3,C4,Authorization,C4.1,Authority and Scope Enforcement,3,Independently Verifiable,Verify that actions outside the granted scope are blocked at the interception gateway — not merely flagged — and that each block writes a rejection record with the attempted action and its parameters.,0.1/en/0x10-C04-Authorization.md,,
4.1.4,C4,Authorization,C4.1,Authority and Scope Enforcement,2,Attested,"Verify that tool-call parameters are validated against the registered tool schema at execution time, that out-of-schema calls are rejected, and that the validated parameter digest is stored in the execution record.",0.1/en/0x10-C04-Authorization.md,,
4.1.5,C4,Authorization,C4.1,Authority and Scope Enforcement,2,Attested,"Verify that agent credentials are issued per task with scope and expiry bound to that task (e.g., short-lived tokens), and that no standing broad-scope credential is available to the agent at runtime.",0.1/en/0x10-C04-Authorization.md,,
4.1.6,C4,Authorization,C4.1,Authority and Scope Enforcement,2,Attested,"Verify that each human approval or override writes a record containing the approver's authenticated identity, the exact content presented for approval, the decision, and its timestamp.",0.1/en/0x10-C04-Authorization.md,,
4.1.7,C4,Authorization,C4.1,Authority and Scope Enforcement,2,Attested,"Verify that authorization evaluation is path-aware: the evaluated context for each invocation includes parameters and state carried from upstream invocations in the same execution path, so that a composed sequence of individually authorized calls cannot silently exceed the authority of its steps. *(Research-driven addition — see Appendix D, issue 12.)*",0.1/en/0x10-C04-Authorization.md,,
4.1.8,C4,Authorization,C4.1,Authority and Scope Enforcement,2,Attested,"Verify that outputs of diagnostic, advisory, or audit tools cannot raise the authorization state of subsequent actions: approval thresholds are evaluated against the original grant, not against accumulated execution context. *(Research-driven addition — see Appendix D, issue 12.)*",0.1/en/0x10-C04-Authorization.md,,
4.2.1,C4,Authorization,C4.2,Delegation,2,Attested,"Verify that each action's signed authorization token is cryptographically validated (signature, expiry, audience, scope) before execution, and that validation results are recorded.",0.1/en/0x10-C04-Authorization.md,,
4.2.2,C4,Authorization,C4.2,Delegation,2,Attested,"Verify that each hop in a delegation chain carries the delegator's signature, and that the full chain validates back to the originating principal before the delegated authority is exercised.",0.1/en/0x10-C04-Authorization.md,,
4.2.3,C4,Authorization,C4.2,Delegation,3,Independently Verifiable,"Verify that the delegation mechanism structurally prevents a delegate's permission set from exceeding the delegator's (scope intersection on issuance), and that attempted escalations are rejected and recorded.",0.1/en/0x10-C04-Authorization.md,,
4.2.4,C4,Authorization,C4.2,Delegation,3,Independently Verifiable,"Verify that where the delegation chain is confidential, the relying party receives a proof of policy-compliant delegation (e.g., ZK credential presentation) it can validate without seeing the chain.",0.1/en/0x10-C04-Authorization.md,,
5.1.1,C5,Identity,C5.1,Agent and Principal Binding,1,Recorded,"Verify that every execution record carries the agent instance identifier and the principal identifier on whose behalf the action ran, so any sampled action resolves to a named principal.",0.1/en/0x10-C05-Identity.md,,
5.1.2,C5,Identity,C5.1,Agent and Principal Binding,2,Attested,"Verify that the agent authenticates with a cryptographic credential (certificate, key pair, or DID) validated before actions execute, and that credential-validation events are recorded.",0.1/en/0x10-C05-Identity.md,,
5.1.3,C5,Identity,C5.1,Agent and Principal Binding,2,Attested,"Verify that each agent tool call carries a delegation token (short-lived OAuth/JWT, W3C verifiable credential, or capability URL) issued by or on behalf of the principal, cryptographically linking the call to the principal's grant.",0.1/en/0x10-C05-Identity.md,,
5.1.4,C5,Identity,C5.1,Agent and Principal Binding,3,Independently Verifiable,"Verify that the agent's identity credential is bound to an attested execution environment (key held in the attested enclave or TPM), so the credential cannot be exercised from an environment that fails attestation.",0.1/en/0x10-C05-Identity.md,,
5.2.1,C5,Identity,C5.2,Inter-Agent Identity,2,Attested,"Verify that agent-to-agent messages are signed by the sending agent's credential, and that receivers reject and log unsigned or invalidly signed messages.",0.1/en/0x10-C05-Identity.md,,
5.2.2,C5,Identity,C5.2,Inter-Agent Identity,3,Independently Verifiable,"Verify that the receiving party can validate sender identity and message integrity using published key material, without contacting the sender's operator.",0.1/en/0x10-C05-Identity.md,,
6.1.1,C6,Security,C6.1,Execution Environment Integrity,1,Recorded,"Verify that the conformance claim enumerates the security controls it declares (by identifier), and that each declared control is mapped to a named evidence stream that shows it operating — no declared control without a corresponding evidence source.",0.1/en/0x10-C06-Security.md,,
6.1.2,C6,Security,C6.1,Execution Environment Integrity,1,Recorded,"Verify that every tool invocation is written to the execution record with the tool identifier, the full argument set (or its digest where arguments are sensitive), the result status, and a timestamp.",0.1/en/0x10-C06-Security.md,,
